,reviews,positive_score,negative_score,result
1094,"Deep dish pizza, yum! I came here with a friend on a weekend for lunch around 11:30AM, and there was no wait. There was a wait, however, for the pizza to come out; I hear it's pretty typical though. We ordered a small pizza with spinach, mushroom, bell pepper, and pepperoni. The sauce wasn't very flavorful and towards the middle, the crust got soggy. For the most part though when the pizza first came out, the bottom of the crust was crunchy which was nice! I really enjoyed it. The outer crust was my favorite part though; it was a bit burnt and it was super crunchy and delicious! Good place to eat, I would definitely recommend it. The bill came out to be around $11 post-tax, which I don't know whether is typical or not for deep dish. Delicious though!",7,0,positive
1095,"When I called ahead I was told that they would not put the pizza in until we were here. I thought, wow they must deal with a lot of sketchy people. Then when we got here they told us that the pizza won't be started until we were seated. It took 15 minutes for them to seat us. They put us upstairs where they have one waitress for 20 tables. They let us know that the pizza would be 40 minutes. We have been here an hour. Our waitress came to the table and apologized that they ""lost"" our order and that it will be an additional 20 minutes. The waitress just came to ask if we wanted to order additional food! Um, no, we'd not like to spend more money here! We'd like what we called ahead for.",3,1,negative
1096,"You're not a true Chicagoan if you haven't had Pequods's. Their deep dish is amazing. If you are going to eat in, get there at an off time as they are usually very busy during dinner and lunch hours. We frequent delivery and it is still hot when it arrives. YUM!",2,0,positive
1097,"In a town know for deep dish and never changing the deep dish prerequisites, Pequod's stands out for making a great pie while diverging from the run of the mill pie's you'll find elsewhere. Easily taking the crown as my favorite Chicago deep dish, Pequod's excels exactly where the others, in my own humble opinion, have failed: refreshing a Chicago staple. The pies are deep but not so much that one slice fills you up. The crust is perfectly golden brown but allows the toppings to take top billing. If Pequod's wanted to improve, the only recommendation I could proffer is to open another location or expand their delivery radius to River North!!",10,1,positive
1098,"Loved it! I think it's a tie between Pequod's and Giordano's for me. It's everything you'd expect if you're craving the usual deep dish pizza. Giordano's is more of a ""fancy"" deep dish in my opinion. While Pequod's focuses more on the crust, Giordano's is more about the toppings and cheese (which can be overwhelming and super rich). Both are great. I liked the atmosphere on the 2nd floor. Seemed like a dive bar. I'm surprised they don't have more locations in the downtown area!",6,0,positive
1099,"Just how do they do it?  How does this place achieve deep dish pizza perfection?After some research, I found out some of the secrets.  First is the cast iron pizza pans, well-seasoned after many years of use.  Next is the dough, spread in a thick layer on the bottom of the oiled pizza pain, but not up the sides.  The cheese is whole mild mozzarella, sliced in house to exact specifications, and laid in overlapping pattern on top of the crust but, and here's one of the secrets, also placed up on the sides of the pan.  A hefty ladle of uncooked seasoned tomato sauce goes on top, followed by toppings, dried oregano and pecorino romano cheese.  The thing bakes for about 20 minutes in a 600 degree oven.  The result?  The crust has a beautiful lacy caramelized ring around it, the sauce is sweet and tangy with great depth of flavor, and the toppings are charred to great effect.It's deep dish pizza perfection!  Hard. To. Stop. Eating. It.The only downside is that it's busy and the wait is long.  On a rainy Saturday at 1:30 pm, we waited about 45 minutes to get in, and then it took another 45 minutes to get our pizza after we sat down.  Don't fret, your patience will be rewarded!",10,3,positive
1100,"I don't get the hype....I found Pequod's totally overrated. Full disclosure: not a hater of deep dish, but strongly prefer thin crust. Regardless, I did not find the pizza that tasty. Didn't like the biscuity quality to the crust and didn't think the sauce, pepperoni or sausage was that tasty. I'm not going to advertise for other pizza joints in this review, but there is much better pizza to be had in Chicago. I did like the carmelized cheese on the crust, but this barely tasted like pizza to me, it was like some generic Italian-ish pot pie w/out enough garlic/herbs/flavor. All it was was filling. I tried it, it did nothing to make deep dish more appealing to me.",8,2,negative
1101,"The atmosphere was nice and so were the employees, however the thin crust pizza slices I ordered were over priced for what I received. This pizza does not adhere to the standards I hold Chicago pizza to. If you are high as a kite and need some warm food in your belly before you sack out then this joint could be for you. The staff, atmosphere and late night hour is what this place has going for it but you want to go here for a slice of pizza(it's in the name) for a comparable price. I would not recommend to others.",3,1,negative
1102,"Looking for deep dish pizza. This is your spot. Divey but authentic Pequods pumps out delivery and in house pizzas. Service is accommodating and eager to please although their busy. Best luck at no wait is off hours or before 5PM. Loved it but had to give it 3 stars based on the wait, dark/dive atmosphere and fact that they don't mix your salads because people complained about the amount of dressing used...? Like what? Beware of Cubs games because overflow tends to find itself there after games.",3,1,negative
1103,Absolutely amazing pizza!  Crust was incredibly crispy and that caramelized cheese...drool...We actually didn't have to wait long for a table on a Friday night (Tip: use their priority wait seating on their website!  It's not really a reservation but they'll put you on the front of their wait list once you arrive).,2,0,positive
1104,"My favorite deep dish pizza in Chicago! The burnt crust is absolutely delicious. It's a place that I would love to be able to make a reservation, but it is worth the wait. Whenever I go to another pizza place, I find myself wishing that the crust tasted more like Pequod's. Deep dish is not something you can have every day, but whenever I do have it this is the only one I think is worth the unimaginable level of fullness I experience when done eating!",6,1,positive
1105,"My first real chicago deep dish pizza! We walked in a few minutes after they open, and there were already a few customers inside... a good sign.Took about an hour which is reasonable, so we ordered a half order of fries to keep us entertained (yum and cheap). A ""small"" pizza has only 4 slices but is definitely enough to feed two people. That delicious smell of freshly made pizza, the cheese string lasting forever, the toppings are big and juicy. and stuffed at capacity. The crust is solid... crispy crunchy almost cookie like. The sides are baked with caramelized cheese and is almost 4 inches high. Very satisfying.Staff was friendly and was great at helping us customize our perfect pizza!",10,2,positive
1106,Great! Just don't come in when you're already starving- deep dish takes 45min-1hour.,0,0,positive
1107,By far the best deep dish in Chicago. I've been here multiple times and never was let down by the food or service.,1,0,positive
1108,"It's a shame what a little bit of fame and popularity can do to a place. Have been going to Pequod's for years because they have the absolutely best pizza.  In the past, execution and customer service has been good. (See my review from 4 years ago...).  Unfortunately, the last 3 times I have been to Pequod's my order has been totally screwed up - and the worst part, THEY DON'T CARE.  Lack of any concern for customer experience and never expressing any sincere apology from the invisible management has finally driven me (party of 9) away for good.   They have made it abundantly clear they have enough business and don't need mine.  There are other decent pizza places who will APPRECIATE my business in the future.",8,5,negative
1109,"My favorite deep dish pizza in Chicago.  Pequod's is a whale of a good time.  This pizza is legit they don't Moby Dick around with the quality.  Great place for a date night, slam a couple pizzas and let the romance commence!",2,0,positive
1110,"First time I had their burnt crust years ago, I wasn't so much of a fan.  Lately I have had it a couple times and find it very unique and addicting.  Friendly service, good unique chicago style pizza.  Definitely recommend trying it out.",2,1,positive
1111,Good pizza. Interesting concept. Not deep dish though. Lou's or Giordanos is the way to go.,0,0,negative
1112,"A bit overrated. It was a long wait for our pizza, and when we got it the crust was burnt.",0,0,negative
1113,"Fast service. Pizza was tidy and tasty. Wait staff was pushy about us packing up leftovers, paying a bill, and leaving. We hadn't even finished eating or drinking our drinks. I understand the effort to get more bums on seats, but I felt rushed and wholly undervalued.",1,0,negative
1114,"I may the only person in this city that is not a huge fan of pequod's pizza. It's ok, but nothing to drool over. Wait to usually too long for average pizza. If you want great Chicago pizza, go elsewhere. Pequod's is all hype.",1,1,negative
1115,"Now that I've tried most of this city's popular pizza joints, I feel like I can put each one into their own category. By far Giordano's is still my favorite because they have a fierce gooey cheese game going on in their pies. Lou's tends to be more saucy, while here we found it to be overly bready.On our first visit we tried the thin crust which we enjoyed, so we were very excited to get their famous deep dish with an all cheese crust, which is phenomenal by the way. Who knew burnt cheese could taste so good? The pizza seemed to be a good inch of bread high with a layer of sauce and toppings as opposed to more of a deep dish where the bottom layer of dough is thinner and the toppings deeper and more plentiful. It still tastes great sure, but everyone has a preference. My husband likes Lou's the best which is why we were hoping to have this be our new favorite and could that way compromise and eat here when we were in town. I like that it has the feel of a local sports bar and the service was stellar. Our waitress comped one of my husband's beers for taking a long time to come out when we hadn't even noticed or brought it up which I thought was completely awesome and unnecessary. Still do come here and try it to decide for yourself which pizza suits your fancy. The toppings are fresh, the flavors on point, and you certainly won't leave hungry! They also have great lunch specials and you can call ahead and put your name down during high wait times.",21,2,positive
1116,"This place is overtly rated to be one of the best pizza   In Chicago.  I had to see it for myself.  If you are coming here on an empty stomach you better pack a SNACK box because you are going to be WAITING a very LONG TIME to be waited On.  We had a very nice waitress she gave us her suggestions we like the appetizers very much.  Nice and hot.   The pizza to me was not like WOW best pizza no. I did not care for it because it lack seasoning and the dough was not well done for me and I needed to add salt on my pizza.  I never add salt to my food but yes the pizza was under salted.  The only thing that I totally disliked were the hostesses.  The one that had glasses was loosing control and was yelling at all of us to get into a single file and had to be helped to mange the buzzers you received to be called to your table.  After over an biy and half we finally got our table they took us upstairs and a hostess with braids was so rude she was taking us so fast up the stairs my cldey sick mother was exhausted and could not catch up to her.  So by the time we got sited at our table the hostess rudely slam the forks, knives in a cup on the table and walked off.   That ruin my appetite.  Set the ambiance from 5 states to 3 No am definitely NOT coming back not worth the wait",11,5,negative
1117,"Closer location than the original to downtown of my favorite Chicago deep dish pizza.Food: 5, Atmosphere: 3, Service: 4Cost to worth it rating: 4 ($22 for 1 topping large pan pizza)Return worthiness: yesHighlights:- Caramelized crust: their differentiator - Toppings: they have meatball (liked this a lot), Italian beef, and giardiniera and top it with lots of gooey melty cheese- Garlic bread: solid to munch on while you wait - Serve the full menu until 2am- Full bar- $5 lunch special: includes personal pizza and a sodaMidlights:- No specialty pizzas: you gotta make up your ownLowlights:- Bit of a car ride to get to from downtown Still love this pie and will be back.",7,0,positive
1118,"I don't understand the hype of this place. Super small, so it was obviously over crowded. The staff all seemed to be either stoned or off of some other stuff I don't even know of.And honestly, the pizza wasn't even THAT good.Save yourself the experience, and don't go here.",0,2,negative
1119,Love this place. Super easy to pick up pizza on my way home today as it always is. Pizza is a unique style and the burnt crust is addictive.,1,0,positive
1120,One of the best Chicago deep dish pizza! Love their crust! They also have an awesome lunch special for $5.95,2,0,positive
1121,"Food was okay, nothing to go crazy about.. but the service was terrible. Won't make it a point to come back.",0,2,negative
1122,"This was pretty good. I can see why people like the carmelized crust, but I'm a big fan of the flaky crust pizza. I was glad that the wait was not too long and that we were seated within 20 minutes.",4,1,positive
1123,"Our server Angela was fantastic!! She was able to accommodate our group and was able to split all of our receipt!! Thank you Angela!!We all had their deep dish Chicago Style Pizza! It was a mix comment, but overall not bad. you would have to know what Chicago deep dish pizza is about, otherwise, you might find it interestingly different!!I would've taken photos, but our whole group worked the whole day for more than 16 hours and by 10:30pm, we were all exhausted and just ready to just dive in and eat!! LOLOverall, I'd recommend coming here and be one of the locals!!Until then, Cheers!! ~ :p",4,3,positive
1124,"My first Chicago style deep dish pizza did not disappoint! The place is pretty divey and unapologetically so. Since the pizza itself was going to take about 30-40 minutes, we ordered their cheese bread to start. The cheese bread is almost artery clogging with the amount of cheese that they put on it and was the perfect size to share between three people without being too much. We ordered a pepperoni, sausage, and basil pizza. The crust came out looking like it was burnt but it was just how they caramelized cheese. The crust itself was very crispy on the outside while fluffy and doughy on the inside. The addition of the caramalized/burnt cheese was definitely my favorite part of the pizza and was quite addicting! The pepperoni was pretty standard and I liked their sausage a lot better because it was more flavorful. The only real downside is that the pizza was mainly a really thick crust. Though it was tasty, I could only really get through one whole slice before being sent into a carb-induced food coma. Once we got over the intial wow-factor of the crispy cheese, we mainly picked away at the toppings of our next slices.Overall, I think Pequod's was a great introduction to Chicago deep dish for me and I can't wait to try other spots to be able to compare!",8,3,positive
1125,"I ate here once with six beautiful and accomplished women and one guy named Clarence. Food to notch, service excellent. Picky Pizza eaters will not be disappointed.",3,1,negative
1126,"Chicago is the land of deep-dish pizza. And I can't stand it. The only time I would ever get deep-dish was when I had a friend in from out of town. Ever since I discovered the deliciousness that is Pequod's, it's not just the only pizza place I take friends too, it's where I like to go whenever I'm in the mood for a really good pizza pie. It's not deep dish. It's deep-pan pizza so, while the pizza is two inches thick, most of that is crust instead of normal deep dish sludge. And the caramelized crust is amazeballs. I was surprised how divey it felt when I first walked in but I like that they let their food speak for itself. The cheesy garlic bread is a solid starter, and they typically have pretty good drink specials. I've actually never had to wait too long to get seated, but I've also usually been able to avoid prime dinner time. The one time I had to wait at all, I was able to grab a drink at the bar next door while I waited for my buzzer, so no harm no foul.",6,3,positive
1127,"Pequods was my first deep dish experience in Chicago, and the only way I can describe it is good enough. We got a small 10-inch pizza with sausage and pepperoni, which paired with a side of fries was the perfect amount for two hungry dudes. The pizza takes about 40 minutes to come out, so I recommend ordering right away. The cheese is crispy, the toppings are on point, and the crust requires a fork and knife for sure.I do really like the atmosphere, which is like a cool locals bar. Not as touristy as the Lou Malnati's in downtown Chicago. That gives it a slight edge in the comparison, but the pizza comes down to whether you like a crispier or slightly softer pie.",10,0,positive
1128,"Great place. Went here for a birthday party. My food took a little while to get to my table, and our waitress kept assuring us multiple times that the wings would be ready soon, but it took about 30 minutes from the first time she said that. So service might be slow here sometimes, but mind you it was kind of busy at that time.",2,1,positive
1129,"Originally from Chicago I've had many of the Deep Dish Pizza's from several of the popular and less popular places in Chicagoland.  Lou Malnati's has always been my favorite go to pie for years.  Until now, there was no competition IMHO.  Recommended by a city Lyft driver, great reviews on Yelp and other references, we decided to try Pequod's. We (all five of us who are all long time Deep Dish fans) were NOT disappointed. Great pie! The crust, the ingredients including the sausage and cheese are top quality. The sauce is excellent with a slight tangy while the acidity is low and cooked out. Going forward when visiting ""My Kind of Town"", I'll now have pan pizza on two different nights. One night at Lou's and one night at Pequad's  (not necessarily in that order).  Expect to wait during peak hours but it's worth the effort! Very reasonably priced as well!",10,1,positive
1130,omfg! lost for words..... just go try it! nuff said!!!!,0,0,positive
1131,"I am not a big fan of deep dish pizza, but Peqoud's is pretty damn good. The crust is excellent, caramelized deliciousness; and the toppings are always fresh and plentiful. The service is excellent, and the background music always has me singing along, to my friends chagrin. I don't get here often enough. I love Lou Malnati's, but Peqoud's is a very close second. I adore this place.",9,2,positive
1132,"I've tried out two other pizza spots in Chicago while traveling here for a few days and this is the best! I would come back here again for their cheese pan pizza which is what I got. They have a lunch special during the weekdays from 11:00am to 3pm for $4.95 so I would recommend ordering that. You can get a personal pan pizza with a fountain drink for the price, which is very reasonable. The quantity is sufficient too for one person but you can even share it. My friends and I ordered an extra one to go as well.",5,0,positive
1133,"Hahahah, Pequods.You like deep dish? You like this place.I think the overly-detailed bad reviews are hilarious. This is not burger king. You do not get it your way. You get it Pequods way, and sometimes, you have to just take it that way.But I am not here to talk about how long it took to get my food, nor if the server was rude to me, or if your box had a dent in it. I am here to talk about how the food put in front of me was, which is really what we should all be talking about.",3,3,positive
1134,"My favorite deep dish pizza ever. You just can't beat Peaquod's: quality ingredients, good sauce/cheese/toppings ratio, and the perfect level of char. I know the charred aspect isn't a favorite for everyone, but I think it completes the pizza and makes it into the perfect Pequod's crust. I've been here several times and the service is kind of hit or miss, but fortunately for them, their pizza is so good that I keep coming back regardless. If you're coming in from out of town and you want deep dish, THIS IS IT. Also try your fav topping with giardinera (spicy food lovers only)... thank me later. :)",9,0,positive
1135,"Having lived in Chicago for over a decade, leaving and then coming back again, I can now safely say that the beat deep dish is from Pequods. It's tough to get in on a weekend night, but weekday evenings are no problem.",2,0,positive
1136,The best deep dish pizza in Chicago! We actually had it recommended to us by someone who lived there and we were very impress.  This isn't a big place so the wait can be a little long but worth the wait!,4,0,positive
1137,"Not as good as the hype! It's OK, but I'm not a big fan of golf ball size sausage and very little sauce. I will stay with Nancy's deep dish  or Aurelio's thin crust any day !",1,1,negative
1138,Decided to check it out once I read a couple reviews . Great pizza . Couldn't even finish the personal pan pizza,0,0,positive
1139,"A huge disappointment. There was wait which I don't understand why when majority of the second floor was empty; we were seated upstairs. What is up with people and deep dishes? I was excited to travel to Chicago to finally try the famous deep dish pizza and that was a huge mistake; the grumpy guy that sat across me couldn't agree any less. We had the small pan pizza with onion, pepper, mushroom, basil, pineapple and some other greens. It wasn't bad looking but the taste...he finished his slice and I couldn't even stuff another bite. I think I ate a total of 2.5 bites of my slice and doggie bagged the rest for my mommie. Mom didn't like it either. We also ordered the appetizer combo that came with mozzarella sticks, zucchini slices, jalapeño poppers, and breaded mushrooms. I was super excited for the mozzarella sticks because I can't remember how old I was when I had it; probably in high school. I can't say it fulfilled my craving for mozzarella sticks but it was definitely one of the better appetizers. Everything else was being ingested out of hunger. We also ordered the garlic bread and wow were we upset. It wasn't garlicy or buttery. Hmm. This is a tough review. I feel like it's suppose to be good but I had such a bad experience with the food.",10,5,negative
1140,"I really like the pizza here. I've only had the deep dish. Also have had salad and apps there which were fine but nothing special. My boyfriend has gotten a pasta dish and thought it was good but nothing to write home about. The pizza has a caramelized crust which I've heard some people think is too much of a burnt flavor, which I can understand. It's up to your personal preference whether you will love the pizza or not. The service is just ok, and I've ordered it for delivery which was not a good experience. They messed up on my delivery time and tried to deliver it when I wasn't there, so came back about an hour later after completing more deliveries. I had to microwave the pizza once it arrived and the fries we got were soggy. I would go back for the pizza, but would not do delivery again.",5,0,positive
1141,Our favorite pizza place in chicago. Skip the long lines of tourists at all the other downtown spots and bring your family and friends here. It's a much more local feel with great food.,2,0,positive
1142,"This was the least flavorful ""deep dish"" pizza I've ever experienced. The deep dish was more ""pan pizza"" and less deep dish. The sauce was in dire need of salt, the crust was soggy and the meat lacked any flavor at all. Where was the cheese? Several people recommended this restaurant over my favorite Giodarnos and over Lou Malnatis, but I'm convinced they lacked tastebuds. The only positive was our waitress Tessa, who was polite and attentive. I was otherwise, beyond disappointed.",5,2,negative
1143,fast servicepizza is oka friend of mine recomend this placei order mediam peperoni 1/2 whit mushrooms and jalapenos when the pizza arrive omg was a lot of jalapenos like i order extraalso order the apetizer was ok,3,0,negative
1144,"Brenda was awesome. She really helped us out in a bind. Because we were traveling internationally and had card issues with fraud alerts, she was kind enough to make our order happen while we sorted out our credit card situation. Had she not done this in order to facilitate our order, we would have probably never tried (or gone back to) her establishment.For the record- we were a late night order, so time was of the essence.Much appreciate her faith in us, and let it be known that- given how great her service was, and delicious the pizza is- we shall now be regular customers, having recently moved here and this being our first pizza order in Chicago. Thank you, Brenda!",8,1,positive
1145,"This really needs no help with a rating. I will tho, since I see some disgruntled NY and other folks who live out of town have given lower ratings. The crust is always just the right amount of crisp and done. It's a deep dish pizza done correctly, where others fail. The toppings are always tasty. I've never had it soggy, its always been slightly burnt, like their signature, and perfectly done thru the rest.So Fort Worth, Miami, Anh (real trendy spelling) and dorky Jake from SF, just stay in your respective smellier cities.",6,2,positive
1146,Best deep dish in town baby!!!!,0,0,positive
1147,"Great food, great service, reasonable prices, best pizza in chicago! 5 starts, id definitely recommend trying this place , if you dont live in town, trust make the trip west over here its awesome, great bar to watch sports games too!",7,0,positive
1148,"It was a new experience for me to tell people all across the city that I'd had pizza, and when they asked ""where at"" I said ""Pequod's"" and the response was *universal* approval. ""You won't find better in the city. Good job."" It was almost as if people were surprised that I, some guy from Vegas, would be able to divine the local secrets of Chicago pizza. This place was awesome. That's the important part. Second most important: you're going to wait for it. We put our names in and went down the street to a bar they had partnered with to wait, instead of just sitting around waiting for a table in the actual restaurant. They gave us a buzzer and we started drinking. About 80 minutes later, the buzzer went off and we headed back to our table. We ordered garlic cheese bread for starters, and it was pretty good. I'd give it 4 stars if I had to grade the bread alone. It was still good, no doubt, the bread could have been a bit better if I had to pick one thing to improve. After we ordered our pizzas, one thick and one thin crust, we waited again and ate our garlic cheese bread and drank our drinks.The pizzas arrived. I'm not a big fan of Chicago-style deep dish. I consider myself a thin-crust man. The thin crust is thicker than I expected, more of a ""pan"" style, ""normal"" thickness. The deep dish was exactly what I expected. Even though I'm not a deep dish person, I ate two pieces and had to stop myself from having a third lest I leave no room for the thin crust. The thin crust was excellent, and the thickness was deceiving: it was crisp and delicious even though a bit airy. I am a big fan of both these pizzas. The toppings tasted great, the sauce was great, the service was pretty good. I'd come here again in a heartbeat. And I understand why everybody was so happy for me when I told them I'd come here.",19,3,positive
1149,"I have always heard people talking about pequods so when I came to eat here with a bunch of friends I was so hyped. We even brought some friends that were visiting from Florida. The place was packed so I thought it was a good sign. We ordered the sausage with pepperoni, pepperoni sausage with jalapeño, and canadian bacon with pineapple. After we ate I felt so bad for bringing my out of town friends. It was so meh. It wasn't bad but it also wasn't good. Good thing Florida pizza is trash so pequods was ok to them. The atmosphere is fun but it gets so packed that sometimes it's hard to get a hold of your server. But when u do they are nice and helpful.",5,4,negative
1150,"Always have their amazing pizza when I can. Love the lunch deals and I love the burnt cheese crust. The wait is typically pretty long but it is definitely worth it for this pizza. I am the kind of person who does come here during the less crowded times. Make sure you go during lunch for the 4.95 lunch special. Also there is a bar next door where you can have a drink while you wait. The buzzer will work in there while you wait. I do like sitting on the second floor better as it does feel cozier, especially for how long you have to wait, and they service I get up there is typically better. The past few times I have been here the servers have not been too warm and welcoming and it looked like they were just fed up by the huge crowds and lines. Us customers just can't help it when the cooks make this pizza so addictive so we keep coming. This is definitely a local mostly location and the best place in my opinion for deep dish in Chicago. This is coming from someone who doesn't pizzadiscriminate.",11,1,positive
1151,"At the servers suggestion , we ordered a large Pequod salad and a large Caesar to have while our pizza cooked   $9.50 each--iceberg lettuce, one sliced mushroom 3 cherry tomatoes a few onion slices . Poor.We ordered 2 large pan pizzas, different toppings . The first one came out for 1/2 the group. 20 minutes later we had to flag someone down to look for the second pizza. 1/2 the group had finished eating.They came back a few minutes later with 2 mediums and no apologies.Pizza crust was amazing!",1,0,negative
1152,"Best to come in on a weekday if you're looking to dine in (carry outs good, but doesn't compare to pizza right out the oven) cause it's always super busy but this pizza really does live up to the hype.",3,1,positive
1153,"Well, this was a flat-out disappointment.I'd been hearing great things about Pequod's for years:  Hell, since before I even knew Yelp existed.  Now, I'm no Chicago deep-dish junkie--the dreadful Chicago-style place in my hometown kept me away from the stuff for years--but I've now visited the city enough times to have had several of these pizzas that I thought were terrific.  From what I gathered over time, Pequod's was supposed to be one of the two or three best.  To judge by the pie we had on this night, it fell sadly short of expectations.  The crust:  One-dimensionally crunchy and virtually flavorless.The sauce:  Insipid and bland.The veggie toppings:  Hacked up in unpleasantly large bites.  (The sausage was pretty good, though.)That heralded caramelized crust was pretty great, but it could not make up for the rest of this mediocrity of a pizza.Maybe this was just a dud, a bad night.We liked everything else about Pequod's:  The casual, cramped, old-school feel of the place; the friendly, if somewhat relaxed, service; the solid Italian salad we shared as an appetizer (very good housemade dressing); and the beer list.One day, I'd like to give Pequod's another shot.",14,7,negative
1154,"Came here on the suggestion of different locals. Left supremely disappointed. The pizza was not deep dish, which is what we expressed that we wanted when Pequads was suggested. What we got was a very thick pan pizza with little to no cheese, bland sauce, and unappealing toppings. It was really unfortunate, as we picked this place over Lou Malnati's. Won't make that mistake again.",1,4,negative
1155,"I went to Chicago for vacation and knew I couldn't leave without trying Chicago's deep dish pizza. We ended up picking Pequod's.We came on a Friday evening and had an approximately two hour wait. Luckily, there's a Barnes and Noble nearby to pass the time. After getting seated, we ordered a medium pizza, which was the perfect size for three, with fresh basil, sausages, and mushrooms. The basil seemed to be lacking in both quantity and flavor, but the other two toppings complemented the pizza really well! The crust of Pequod's pizza is also to die for and was yummy.",4,1,positive
1156,"For years, I've ben so confused as to why Pequod's isn't the place you hear about most for pizza. I tell anyone visiting that they need to go here. It's such a great spot and doesn't feel chainlike at all.",1,1,positive
1157,"I came here on a Saturday, and it was packed! When we got there, there was a wait, but we were able to grab a drink at their associated bar two doors down. We had one drink there before our table was ready. We had the cheesy garlic bread and created our own pizza. The cheesy garlic bread was great, and while I am not the biggest fan of deep dish pizza, it was still some of the best that I have had! It would have been nice if they had taken our order when we first got there and were waiting, as once we got seated upstairs it was about another hour until we got our pizza. Overall, good experience and I would definitely come again!",5,2,positive
1158,"This place has great pizza but the service tonight ON MY BIRTHDAY was terrible! I ordered a pizza at 8:15pm. Now it's 10:17 I just cancelled the order because it never came. Some idiot lost my order. They took half off my bill and promised my order would be ready in 15min at 9:50pm. 25min later my food wasn't ready, so I cancelled my order. I hate incompetence. I will never eat here again. I'd rather spin month at a place that might not taste as good but have enough good sense, not to lose my order. What's worse is u can believe I drove damn near an hour to get it. Never again. And I'll be sure to tell/talk anybody I know out of coming here. Here's a tip: Get some better business Practices!!! Thanks!!!",8,6,negative
1159,"We shared a wonderful deep dish pizza that we customized with pepperoni, sausage and green papers. It was delicious! Be aware that you will wait 40 minutes from the point of ordering before your pizza is served! The place is multi-level and buzzing with people. Fun, casual environment!",2,1,positive
1160,Pequod's is a rock solid pizza and I've been going there for 25 years. It's a bit of a wait most of the time so come early grab a beer and most importantly order in advance so you can sit down and eat your pizza right away instead of having to wait for your pizza order once you finally sit down. The pizza crust is crispy although I admit it could use a little salt. Thin crust is what my son likes. When you can hook a 13 year old on good pizza it creates an experience he'll have his entire life. Speaking of experience the place has a lot of character. Good place to take a date or a family!,4,0,positive
1161,"Great pizza, friendly service and laid back vibes in the cutest neighborhood. This is a must!",1,0,positive
1162,"Such awesome pizza! Crisp crust, great sauce, and tasty toppings. The only issue is the wait, as they don't take reservations and they're so popular. They should expand!",3,0,positive
1163,Best pizza in Chicago. The wait is rough - always...but worth it. Grab your pager and go next door for a cocktail while you wait!,1,1,positive
1164,"Before anyone gets outraged for the 1 star rating, this review is only for their veggie pizza. I got a pan pizza while my friend got the thin crust one and both of them were so disappointing, the thin crust slightly less so. It looked like raw unseasoned veggies were just added on top of a cheese pizza. The pizza sauce tasted like canned tomato sauce. The only thing good about the pan pizza was the crust. Rightly done, I am sure this pizza could have been amazing. It took us 30 mins to get a table and additional 30 minutes before the pizza was brought out. So not worth the time or money if you are a vegetarian.",6,1,negative
1165,"I always tell people this place is a hybrid of Giordrano's and Lou's. It's got the pie-stuffed feeling of Giordano's and the delicious buttery crust of Lou's. I'm picky, but I call it the perfect pizza. If you're having dinner prepare to wait an hour for a table and another hour for the pizza. Just remember it's worth be wait.",3,0,positive
1166,This place is great! Serves is great the pizza is mouth watering. Highly recommend this place!,3,0,positive
1167,Amazing pizza! Best deep dish pizza in Chicago!,0,0,positive
1168,"I came here on a recommendation from a friend who lived in Chicago.  I got on the ""preferred seating"" list for 7 p.m. and we got here early.  Upon arrival we were told that it would be a wait of 45 minutes to an hour.....even though we got on their ""preferred seating"" list for 7.  What kind of restaurant makes you wait an extra hour even though you have a reservation?I guess business here is so good you can lie and give customers the shaft and not have to worry about it.",2,1,negative
1169,"I waited to review Pequod's until I had many others under my belt (85+ at this point). I remember loving it about two years ago when I first had it; before I knew anything about the hype. You can argue who has the best deep dish in Chicago, but I want to put a spin on this. If you look at the menu, they call this ""pan"" pizza and I'm glad they do, because I'd consider them the best pan pizza in Chicago, not deep dish. What I'm trying to say is pan pizza is known to be over-compensated on the dough. This is a very doughy pizza. I consider deep dish more balanced with more cheese and toppings and less dough. To each their own. I really like the airiness of the crust. It has a well-cooked bottom crunch, yet a chewy center. The sauce is more savory and is a true sauce, not chunk tomatoes. I hate to say it, but the sausage tasted a little dry and gritty. This is more than likely due to it being cooked on top of the pizza. There was a decent amount of cheese. It was enough, but wouldn't have complained if there was more. Of course I have to mention the caramelized cheese crust. This is the best bite of the pizza and what they are famous for. Don't be alarmed, it does not taste burnt at all! I also got a thin crust pizza. It's nice that they do a braided outer crust. The toppings were abundant and the it was far more cheesy than the pan pizza. I really liked the thin crust. I think everyone should at least get Pequods once to say they did and it may be your new favorite pan pizza. If you like lots of dough, this will be your place.",16,6,positive
1170,"After a few recommendations from locals, we decided to visit and taste for ourselves. We arrived and waited for about 10 minutes before we even got asked about what we would like for drinks. In discussions with the server, she advised that the deep dish takes about 40min to bake. So, we opted to get slices instead as we had a plane to catch. Well, 40 minutes later 2 of us got slices that were warm, not hot, warm. Our friend ended up getting a personal thin crust which is not what he ordered. The pizza was not good for any of us. We were absolutely disappointed with the service and quality of food. Maybe on a return trip, we'll try again and get better service and food.",7,1,negative
1171,What is there to state accept this is the best pizza in the city. They take pizza to another level for taste and the restaurant experience is not bad either. They did a remodel some years ago at the Clybourn location to add more seating and to update the look. The crust and the pizza sauce is just magnificent. This place is definitely worth the trip if you are not close to this location. They also have a location in Morton Grove. bon appétit!,3,1,positive
